price,min_to_metro,floor,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,reg_ЗАО,reg_САО,reg_СВАО,reg_СЗАО,reg_ЦАО,reg_ЮАО,reg_ЮВАО,reg_ЮЗАО
53809097.0,23.0,7.0,2024.0,1.0,0.0,3.1,2.0,False,False,False,False,False,True,False,False
21091978.0,20.0,2.0,2021.0,1.0,0.0,2.79,2.0,False,False,True,False,False,False,False,False
32923968.0,2025.0,19.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,True,False,False,False,False
11900000.0,20.0,18.0,2024.0,1.0,1.0,3.0,2.0,False,False,False,False,False,False,True,False
31044068.0,7.0,30.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,False,False,True,False,False
27813044.0,4.0,51.0,2024.0,1.0,0.0,2.85,2.0,False,False,False,True,False,False,False,False
12900000.0,17.0,8.0,2024.0,1.0,1.0,3.0,2.0,False,False,False,False,False,False,True,False
15961450.0,4.0,6.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,False,False,False
28657590.0,11.0,27.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,False,False,True
78120660.0,6.0,2.0,2023.0,1.0,0.0,3.25,2.0,False,False,False,True,False,False,False,False
23700476.0,24.0,5.0,2023.0,1.0,0.0,2.74,2.0,True,False,False,False,False,False,False,False
15800000.0,17.0,7.0,2024.0,1.0,1.0,3.0,2.0,False,False,False,False,False,False,True,False
118150000.0,6.0,2.0,2023.0,1.0,1.0,3.1,2.0,False,False,False,True,False,False,False,False
173610717.0,9.0,9.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,True,False,False,False
30828160.0,4.0,18.0,2022.0,1.0,1.0,,2.0,False,False,False,False,False,False,False,True
21000000.0,9.0,19.0,2019.0,1.0,0.0,,2.0,False,False,True,False,False,False,False,False
35127607.0,4.0,7.0,2024.0,1.0,1.0,3.0,2.0,False,False,False,False,True,False,False,False
29663214.0,4.0,46.0,2024.0,1.0,0.0,2.85,2.0,False,False,False,True,False,False,False,False
157144346.0,8.0,8.0,2013.0,1.0,1.0,3.15,2.0,False,False,False,False,True,False,False,False
29612067.0,24.0,11.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,False,False,True,False,False
30707300.0,2.0,2.0,2024.0,1.0,0.0,3.65,2.0,False,False,False,False,False,False,False,True
16400000.0,18.0,4.0,2023.0,1.0,0.0,,2.0,False,False,False,False,False,False,True,False
26649000.0,,47.0,2023.0,1.0,0.0,3.05,2.0,False,False,False,True,False,False,False,False
42230000.0,10.0,15.0,2024.0,1.0,1.0,,2.0,True,False,False,False,False,False,False,False
